"","period","parameter","slope","r_sq","r_sq_adj","p_value","ts_slope","ts_p","sgl_slope","sgl_p"
"1","1881:2020","long_start","-0.0726515835115183","0.0583716102303429","0.0512916975253078","0.00475756684489874","-0.0697674418604651","2.74776754082436e-38","-0.0729442970822281","3.76057396884033e-08"
"2","1961:2020","long_start","-0.0712042337986761","0.0133548523579828","-0.00458415032641746","0.391983041117844","-0.0824829931972789","0.0460633716570751","-0.113247863247863","0.0116426623997561"
"3","1961:1990","long_start","0.236484983314795","0.0383405327858383","0.00399555181390399","0.299740063672001","0.307692307692308","0.00974785808165257","0.4","0.00401288353343094"
"4","1991:2020","long_start","-0.264209369693337","0.0504378903073823","0.0124554059196774","0.260075208992034","-0.241379310344828","0.0159886125035642","-0.166666666666667","0.133196151239931"
"5","1881:2020","long_end","0.0468180847277597","0.0309546687942713","0.0236686136724237","0.041233667601883","0.0392156862745098","2.79271639632745e-19","0.0481510015408321","0.000669070259158356"
"6","1961:2020","long_end","0.0742213099551182","0.017162194730368","-0.000707583547261637","0.33137651837966","0","0.0209184141768442","-0.0104166666666667","0.706561665846424"
"7","1961:1990","long_end","0.114349276974419","0.00980943661792618","-0.0255545120742908","0.602567980287035","0.0909090909090909","0.405439068589066","0.174242424242424","0.0619047788926382"
"8","1991:2020","long_end","0.264059534512032","0.0631806950806346","0.0257079228838599","0.205974217070257","0.173913043478261","0.00237435547803292","-0.00833333333333334","0.540086837462152"
"9","1881:2020","long_length","0.119469668239278","0.115048732937228","0.108394964011943","5.71373422060353e-05","0.116883116883117","6.68765363674402e-70","0.102441150828248","1.27658559628186e-13"
"10","1961:2020","long_length","0.145425543753797","0.0411575454927701","0.0237240463199114","0.13014927282935","0.135135135135135","0.000129328812834685","0.146464646464646","0.0025345070191734"
"11","1961:1990","long_length","-0.12213570634038","0.00811112444023067","-0.0273134782583326","0.636004946288955","-0.0689655172413793","0.365854303875774","0.03125","0.715566790636152"
"12","1991:2020","long_length","0.528268904205367","0.140535401919418","0.106156817996195","0.0540179408581886","0.5","0.000192905462582055","0.583333333333333","0.00821505486965179"
"13","1881:2020","active_start","-0.124995938635721","0.110173513090308","0.103483088376701","8.39475645687356e-05","-0.12962962962963","6.47468041417647e-79","-0.118688145633172","5.95046536867455e-12"
"14","1961:2020","active_start","-0.21615681376974","0.068514751198285","0.0515786557655267","0.049200298585726","-0.224747474747475","9.97398897026948e-09","-0.194281524926686","0.00130968367888217"
"15","1961:1990","active_start","0.0182424916573958","0.000145854554983084","-0.0355632220680533","0.949495760404663","0","0.766950399695264","0.0625","0.862658765511696"
"16","1991:2020","active_start","-0.449205873539108","0.0761805186599311","0.0392277394063284","0.16345037188558","-0.6","0.000487275048874907","-0.9","0.00246782341214246"
"17","1881:2020","active_end","0.0757267569733177","0.0788168583427658","0.071890669307749","0.000973062971968703","0.0681818181818182","2.49675281631491e-53","0.0480030721966206","3.0652302591167e-07"
"18","1961:2020","active_end","0.193485464864668","0.111597839370288","0.095445072813384","0.0110959793492419","0.178571428571429","3.72027444385126e-13","0.121428571428571","4.29928809703776e-05"
"19","1961:1990","active_end","0.229810901001112","0.0405530174698746","0.00628705380808436","0.285924979879106","0.133333333333333","0.0219200821034954","0.221428571428571","0.0149816050510509"
"20","1991:2020","active_end","0.546149235840577","0.256205143454172","0.226453349192339","0.00706288449797173","0.523809523809524","4.72489061275535e-07","0.585714285714286","9.53674316406249e-06"
"21","1881:2020","active_length","0.200722695609039","0.186037578145817","0.179917559936387","1.76396201538435e-07","0.2","3.76337656124018e-138","0.157352267521759","3.96260737191104e-14"
"22","1961:2020","active_length","0.409642278634408","0.162056447317328","0.146821109995825","0.00190638874600674","0.42078853046595","1.11787531809078e-21","0.329710144927536","6.49645562209556e-07"
"23","1961:1990","active_length","0.211568409343714","0.0119549824292752","-0.0233323396268221","0.565186256016757","0.333333333333333","0.061903339163966","0.285714285714286","0.104808252039764"
"24","1991:2020","active_length","0.995355109379685","0.284295467865221","0.25566728657983","0.00418602020851215","0.933333333333333","6.71494449479087e-09","1.30789473684211","9.53674316406249e-06"
"25","1881:2020","summer_start","0.0186621638826801","0.00126126515683025","-0.00624804863898309","0.682590472549428","0.025","0.0496327749258447","0.0183625336927224","0.221298544899553"
"26","1961:2020","summer_start","0.0344027054764766","0.000651216777456773","-0.0175187610993166","0.85054265792575","0.0481997677119628","0.355996427920394","-0.0126050420168067","0.911431652578554"
"27","1961:1990","summer_start","0.42046718576196","0.0210509817403289","-0.0139114831975164","0.444282210359137","0.857142857142857","0.00862814493902128","1.29166666666667","0.0584194100755917"
"28","1991:2020","summer_start","-0.11367495754669","0.00238221290936329","-0.0375224985742622","0.808968793080161","-0.214285714285714","0.411250048308424","-0.361111111111111","0.373505935072899"
"29","1881:2020","summer_end","0.130900161796613","0.0584033168287813","0.0513236425192232","0.00474585458483688","0.136363636363636","8.37569191753535e-50","0.139423076923077","2.18094676383593e-09"
"30","1961:2020","summer_end","0.246126643008179","0.0391244519290988","0.0216539874187188","0.140244569271957","0.218253968253968","6.75530487888448e-07","0.233766233766234","0.00110298916448816"
"31","1961:1990","summer_end","-0.22424916573971","0.00618171761687309","-0.0293117924682387","0.679619374712523","-0.0588235294117647","0.585427318544187","-0.149305555555556","0.325144072102808"
"32","1991:2020","summer_end","0.170862051743085","0.00984624544925317","-0.0297599047327768","0.622418484162343","0.4","0.13301529735101","0.40952380952381","0.169813856482506"
"33","1881:2020","summer_length","0.112237997913933","0.0475586817061598","0.0403974687866572","0.0110550695183924","0.111111111111111","5.2105332199522e-36","0.0976190476190476","9.32539767017228e-08"
"34","1961:2020","summer_length","0.211723937531702","0.0326698902955473","0.0150820701191029","0.178464443260576","0.222222222222222","7.25156278632785e-05","0.283482142857143","0.00495237103992411"
"35","1961:1990","summer_length","-0.64471635150167","0.088660123882576","0.0561122711640966","0.110024928336693","-0.6","0.000271895823961149","-0.864285714285714","0.00219235741275161"
"36","1991:2020","summer_length","0.284537009289773","0.0159843740575455","-0.0233762509801527","0.529748615107514","0.307692307692308","0.0905819293752599","0.0444444444444445","0.627664357423782"
